Rua:  ; Origem: 251119059 ; Destino: 1102571559 ; Oneway: True ; Highway: motorway_link
Rua: Autoestrada do Alentejo Central ; Origem: 251119059 ; Destino: 1102571519 ; Oneway: True ; Highway: motorway
Rua:  ; Origem: 251119227 ; Destino: 1737123162 ; Oneway: False ; Highway: primary
Rua:  ; Origem: 251119227 ; Destino: 251119231 ; Oneway: False ; Highway: primary
Rua: Rua de Campo Maior ; Origem: 251119227 ; Destino: 1408721078 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 251119231 ; Destino: 251119227 ; Oneway: False ; Highway: primary
Rua:  ; Origem: 251119231 ; Destino: 1397612802 ; Oneway: True ; Highway: primary
Rua:  ; Origem: 251119234 ; Destino: 251119235 ; Oneway: False ; Highway: primary
Rua:  ; Origem: 251119234 ; Destino: 2373226210 ; Oneway: True ; Highway: primary
Rua:  ; Origem: 251119235 ; Destino: 251119234 ; Oneway: False ; Highway: primary
Rua:  ; Origem: 251119235 ; Destino: 2373226286 ; Oneway: False ; Highway: primary
Rua: Rua José Carlos Picão Caldeira ; Origem: 251119235 ; Destino: 1408721138 ; Oneway: False ; Highway: residential
Rua: Faceira da Cisterna ; Origem: 304935688 ; Destino: 1756520239 ; Oneway: False ; Highway: residential
Rua: Rua Alferes Pinto ; Origem: 304935688 ; Destino: 1756520334 ; Oneway: True ; Highway: residential
Rua: Viaduto entrada da cidade de Elvas ; Origem: 304935688 ; Destino: 1175543347 ; Oneway: False ; Highway: residential
Rua: Avenida Garcia da Orta ; Origem: 304935688 ; Destino: 2178776571 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 304956872 ; Destino: 1175542564 ; Oneway: True ; Highway: primary
Rua:  ; Origem: 304956872 ; Destino: 1187957815 ; Oneway: False ; Highway: primary
Rua:  ; Origem: 304958248 ; Destino: 1113008019 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 304958248 ; Destino: 1113007210 ; Oneway: False ; Highway: residential
Rua: Rua das Laranjeiras ; Origem: 304958248 ; Destino: 1113007462 ; Oneway: False ; Highway: tertiary
Rua: Rua das Laranjeiras (2) ; Origem: 304958248 ; Destino: 10557806004 ; Oneway: False ; Highway: tertiary
Rua: Parque de Feiras de Santo António ; Origem: 304958250 ; Destino: 1113006733 ; Oneway: False ; Highway: residential
Rua: Parque de Feiras de Santo António (2) ; Origem: 304958250 ; Destino: 304958251 ; Oneway: False ; Highway: residential
Rua: Largo Joaquim António Cordeiro Vinagre ; Origem: 304958250 ; Destino: 10557806004 ; Oneway: False ; Highway: residential
Rua: Parque de Feiras de Santo António (3) ; Origem: 304958251 ; Destino: 6858520511 ; Oneway: False ; Highway: residential
Rua: Parque de Feiras de Santo António (4) ; Origem: 304958251 ; Destino: 304958250 ; Oneway: False ; Highway: residential
Rua: Parque de Feiras de Santo António (5) ; Origem: 304958251 ; Destino: 1113008019 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 371164832 ; Destino: 4870707226 ; Oneway: False ; Highway: tertiary
Rua:  ; Origem: 371164832 ; Destino: 1756480349 ; Oneway: False ; Highway: secondary
Rua:  ; Origem: 371164832 ; Destino: 371165092 ; Oneway: False ; Highway: secondary
Rua: Rua Caminho de Elvas ; Origem: 371164940 ; Destino: 1113006986 ; Oneway: False ; Highway: tertiary
Rua: Rua de Nossa Senhora do Paço ; Origem: 371164940 ; Destino: 5962332279 ; Oneway: False ; Highway: tertiary
Rua:  ; Origem: 371164940 ; Destino: 1113008021 ; Oneway: False ; Highway: secondary
Rua:  ; Origem: 371164940 ; Destino: 5962332280 ; Oneway: False ; Highway: secondary
Rua:  ; Origem: 371164943 ; Destino: 1113007000 ; Oneway: False ; Highway: secondary
Rua: Bairro Alexandre Castro Nunes Poeta ; Origem: 371164943 ; Destino: 1113007864 ; Oneway: False ; Highway: residential
